Rank,"book title","book price",rating,author,"year of publication",genre,url
1,"Iron Flame (The Empyrean, 2)",18.42,4.1,"Rebecca Yarros",2023,"Fantasy Romance",amazon.com/Iron-Flame-Empyrean-Rebecca-Yarros/dp/1649374178/ref=zg_bs_g_books_sccl_1/143-9831347-1043253?psc=1
2,"The Woman in Me",20.93,4.5,"Britney Spears",2023,Memoir,amazon.com/Woman-Me-Britney-Spears/dp/1668009048/ref=zg_bs_g_books_sccl_2/143-9831347-1043253?psc=1
3,"My Name Is Barbra",31.5,4.5,"Barbra Streisand",2023,Autobiography,amazon.com/My-Name-Barbra-Streisand/dp/0525429522/ref=zg_bs_g_books_sccl_3/143-9831347-1043253?psc=1
4,"Friends, Lovers, and the Big Terrible Thing: A Memoir",23.99,4.4,"Matthew Perry",2023,Memoir,amazon.com/Friends-Lovers-Big-Terrible-Thing/dp/1250866448/ref=zg_bs_g_books_sccl_4/143-9831347-1043253?psc=1
5,"How to Catch a Turkey",5.65,4.8,"Adam Wallace",2018,"Childrens, Fiction",amazon.com/How-Catch-Turkey-Adam-Wallace/dp/1492664359/ref=zg_bs_g_books_sccl_5/143-9831347-1043253?psc=1
6,"Fourth Wing (The Empyrean, 1)",16.99,4.8,"Rebecca Yarros",2023,Fantasy,amazon.com/Fourth-Wing-Empyrean-Rebecca-Yarros/dp/1649374046/ref=zg_bs_g_books_sccl_6/143-9831347-1043253?psc=1
7,"Unwoke: How to Defeat Cultural Marxism in America",27.43,4.3,Unknown,2023,"Nonfiction, Politics",amazon.com/Unwoke-Defeat-Cultural-Marxism-America/dp/1684513626/ref=zg_bs_g_books_sccl_7/143-9831347-1043253?psc=1
8,"No Brainer (Diary of a Wimpy Kid Book 18)",8.55,4.8,"Jeff Kinney",2023,"Humor, Middle Grade",amazon.com/Brainer-Diary-Wimpy-Kid-Book/dp/1419766945/ref=zg_bs_g_books_sccl_8/143-9831347-1043253?psc=1
9,"Killers of the Flower Moon: The Osage Murders and the Birth of the FBI",9.86,4.4,"David Grann",2017,"Nonfiction, True Crime",amazon.com/Killers-Flower-Moon-Osage-Murders/dp/0307742482/ref=zg_bs_g_books_sccl_9/143-9831347-1043253?psc=1
10,"All the Light We Cannot See: A Novel",11.98,4.5,"Anthony Doerr",2014,"Historical Fiction",amazon.com/All-Light-We-Cannot-See/dp/1501173219/ref=zg_bs_g_books_sccl_10/143-9831347-1043253?psc=1
